iter	Passed	Remaining
0	59	59759
1	60	30009
2	60	20080
3	60	15104
4	60	12118
5	61	10137
6	61	8725
7	61	7661
8	62	6832
9	62	6181
10	62	5637
11	62	5182
12	63	4802
13	63	4473
14	63	4189
15	64	3939
16	64	3725
17	64	3531
18	65	3358
19	65	3205
20	65	3067
21	66	2936
22	66	2817
23	66	2712
24	66	2611
25	67	2519
26	67	2433
27	67	2354
28	68	2279
29	68	2210
30	68	2145
31	68	2084
32	69	2027
33	69	1973
34	69	1923
35	70	1874
36	70	1829
37	70	1785
38	70	1745
39	71	1705
40	71	1669
41	71	1633
42	71	1601
43	72	1569
44	72	1539
45	72	1509
46	73	1481
47	73	1454
48	73	1427
49	73	1403
50	74	1380
51	74	1358
52	74	1336
53	75	1314
54	75	1294
55	75	1273
56	75	1254
57	76	1236
58	76	1218
59	76	1201
60	76	1184
61	77	1167
62	77	1151
63	77	1137
64	78	1122
65	78	1108
66	78	1095
67	78	1081
68	79	1068
69	79	1055
70	79	1043
71	80	1031
72	80	1019
73	80	1008
74	80	998
75	81	987
76	81	977
77	81	966
78	82	956
79	82	946
80	82	936
81	82	928
82	83	917
83	83	908
84	83	901
85	84	894
86	84	886
87	84	877
88	84	869
89	85	861
90	85	853
91	85	846
92	86	838
93	86	831
94	86	824
95	86	817
96	87	810
97	87	803
98	87	797
99	87	790
100	88	784
101	88	778
102	88	772
103	89	766
104	89	760
105	89	755
106	89	749
107	90	743
108	90	738
109	90	732
110	90	727
111	91	722
112	91	717
113	91	712
114	92	708
115	92	703
116	92	697
117	92	693
118	93	688
119	93	684
120	93	679
121	93	675
122	94	670
123	94	666
124	94	663
125	95	659
126	95	654
127	95	650
128	95	647
129	96	644
130	96	640
131	96	636
132	97	632
133	97	629
134	97	625
135	97	621
136	98	618
137	98	615
138	98	612
139	99	608
140	99	605
141	99	601
142	99	597
143	100	594
144	100	591
145	100	588
146	100	585
147	101	582
148	101	579
149	101	577
150	102	574
151	102	571
152	102	568
153	102	565
154	103	562
155	103	559
156	103	556
157	103	554
158	104	551
159	104	548
160	104	545
161	104	542
162	105	539
163	105	537
164	105	534
165	105	532
166	106	529
167	106	527
168	106	524
169	106	522
170	107	520
171	107	517
172	107	515
173	108	513
174	108	510
175	108	508
176	108	506
177	109	504
178	109	501
179	109	500
180	110	498
181	110	495
182	110	494
183	111	492
184	111	490
185	111	488
186	112	487
187	112	485
188	112	483
189	112	481
190	113	479
191	113	477
192	113	475
193	114	473
194	114	471
195	114	470
196	114	468
197	115	466
198	115	464
199	115	463
200	116	461
201	116	459
202	116	457
203	116	455
204	117	454
205	117	452
206	117	450
207	117	449
208	118	447
209	118	445
210	118	443
211	118	442
212	119	440
213	119	439
214	119	437
215	120	435
216	120	434
217	120	432
218	120	431
219	121	429
220	121	428
221	121	426
222	122	425
223	122	423
224	122	422
225	122	421
226	123	419
227	123	418
228	123	416
229	124	415
230	124	413
231	124	412
232	124	411
233	125	409
234	125	408
235	125	406
236	125	405
237	126	404
238	126	402
239	126	401
240	127	400
241	127	399
242	127	397
243	128	396
244	128	395
245	128	394
246	128	393
247	129	392
248	129	390
249	129	389
250	130	388
251	130	387
252	130	386
253	131	385
254	131	383
255	131	382
256	131	381
257	132	380
258	132	379
259	132	378
260	133	376
261	133	375
262	133	374
263	133	373
264	134	372
265	134	371
266	134	370
267	135	368
268	135	367
269	135	366
270	135	365
271	136	364
272	136	362
273	136	361
274	136	360
275	137	359
276	137	358
277	137	357
278	137	356
279	138	355
280	138	354
281	138	353
282	139	352
283	139	351
284	139	350
285	139	349
286	140	348
287	140	347
288	140	346
289	141	345
290	141	344
291	141	343
292	141	342
293	142	341
294	142	340
295	142	339
296	143	338
297	143	337
298	143	336
299	143	335
300	144	334
301	144	333
302	144	332
303	144	331
304	145	330
305	145	330
306	145	329
307	146	328
308	146	327
309	146	326
310	147	325
311	147	324
312	147	324
313	147	323
314	148	322
315	148	321
316	148	320
317	148	319
318	149	318
319	149	317
320	149	317
321	150	316
322	150	315
323	150	314
324	150	313
325	151	312
326	151	311
327	151	311
328	152	310
329	152	309
330	152	308
331	152	307
332	153	306
333	153	305
334	153	305
335	154	304
336	154	303
337	154	302
338	155	302
339	155	301
340	155	300
341	155	299
342	156	299
343	156	298
344	156	297
345	156	296
346	157	295
347	157	295
348	157	294
349	158	293
350	158	292
351	158	292
352	158	291
353	159	290
354	159	290
355	159	289
356	160	288
357	160	288
358	160	287
359	161	286
360	161	286
361	162	285
362	162	284
363	162	284
364	162	283
365	163	282
366	163	281
367	163	281
368	164	280
369	164	279
370	164	279
371	164	278
372	165	277
373	165	276
374	165	276
375	165	275
376	166	274
377	166	273
378	166	273
379	166	272
380	167	271
381	167	270
382	167	270
383	168	269
384	168	268
385	168	268
386	168	267
387	169	266
388	169	266
389	169	265
390	170	264
391	170	264
392	170	263
393	170	262
394	171	262
395	171	261
396	171	260
397	171	260
398	172	259
399	172	258
400	172	258
401	173	257
402	173	256
403	173	256
404	173	255
405	174	255
406	174	254
407	174	253
408	175	253
409	175	252
410	175	251
411	176	251
412	176	250
413	176	250
414	176	249
415	177	248
416	177	248
417	177	247
418	177	246
419	178	246
420	178	245
421	178	244
422	179	244
423	179	243
424	179	242
425	179	242
426	179	241
427	180	240
428	180	240
429	180	239
430	180	238
431	181	238
432	181	237
433	181	236
434	181	236
435	182	235
436	182	235
437	182	234
438	183	234
439	183	233
440	183	232
441	183	232
442	184	231
443	184	231
444	184	230
445	185	229
446	185	229
447	185	228
448	185	227
449	185	227
450	186	226
451	186	226
452	186	225
453	186	224
454	187	224
455	187	223
456	187	222
457	187	222
458	188	221
459	188	221
460	188	220
461	188	219
462	189	219
463	189	218
464	189	218
465	190	217
466	190	217
467	190	216
468	191	216
469	191	215
470	191	215
471	191	214
472	192	214
473	192	213
474	192	212
475	192	212
476	193	211
477	193	211
478	193	210
479	193	210
480	194	209
481	194	209
482	194	208
483	195	207
484	195	207
485	195	207
486	196	206
487	196	205
488	196	205
489	196	204
490	196	204
491	197	203
492	197	203
493	197	202
494	198	202
495	199	202
496	199	201
497	199	201
498	199	200
499	200	200
500	200	199
501	200	199
502	200	198
503	201	198
504	201	197
505	201	197
506	202	196
507	202	195
508	202	195
509	202	194
510	203	194
511	203	193
512	203	193
513	204	193
514	204	192
515	204	191
516	204	191
517	205	190
518	205	190
519	205	189
520	205	189
521	206	188
522	206	188
523	206	187
524	207	187
525	207	186
526	207	186
527	207	185
528	208	185
529	208	184
530	208	184
531	208	183
532	209	183
533	209	182
534	209	182
535	209	181
536	210	181
537	210	180
538	210	180
539	210	179
540	211	179
541	211	178
542	211	178
543	212	177
544	212	177
545	212	176
546	212	176
547	212	175
548	213	175
549	213	174
550	213	174
551	213	173
552	214	173
553	214	172
554	214	172
555	214	171
556	215	171
557	215	170
558	215	170
559	215	169
560	216	169
561	216	168
562	216	168
563	216	167
564	217	167
565	217	166
566	217	166
567	217	165
568	218	165
569	218	164
570	218	164
571	218	163
572	219	163
573	219	162
574	219	162
575	219	161
576	220	161
577	220	160
578	220	160
579	220	160
580	221	159
581	221	159
582	221	158
583	222	158
584	222	157
585	222	157
586	222	156
587	223	156
588	223	155
589	223	155
590	223	154
591	224	154
592	224	154
593	224	153
594	225	153
595	225	152
596	225	152
597	225	151
598	226	151
599	226	150
600	226	150
601	226	150
602	227	149
603	227	149
604	227	148
605	228	148
606	228	147
607	228	147
608	228	146
609	229	146
610	229	146
611	229	145
612	229	145
613	230	144
614	230	144
615	230	143
616	230	143
617	231	142
618	231	142
619	231	142
620	232	141
621	232	141
622	232	140
623	232	140
624	233	139
625	233	139
626	233	139
627	233	138
628	234	138
629	234	137
630	234	137
631	234	136
632	235	136
633	235	135
634	235	135
635	236	135
636	236	134
637	236	134
638	236	133
639	237	133
640	237	133
641	237	132
642	238	132
643	238	131
644	238	131
645	239	131
646	239	130
647	239	130
648	239	129
649	240	129
650	240	128
651	240	128
652	240	128
653	241	127
654	241	127
655	241	126
656	241	126
657	242	125
658	242	125
659	242	125
660	242	124
661	243	124
662	243	123
663	243	123
664	244	122
665	244	122
666	244	122
667	244	121
668	245	121
669	245	120
670	245	120
671	246	120
672	246	119
673	246	119
674	246	118
675	247	118
676	247	117
677	247	117
678	247	117
679	248	116
680	248	116
681	248	115
682	248	115
683	249	115
684	249	114
685	249	114
686	250	113
687	250	113
688	250	113
689	250	112
690	251	112
691	252	112
692	252	111
693	252	111
694	253	111
695	253	110
696	253	110
697	254	109
698	254	109
699	254	109
700	254	108
701	255	108
702	255	107
703	255	107
704	255	107
705	256	106
706	256	106
707	256	105
708	257	105
709	257	105
710	257	104
711	257	104
712	258	103
713	258	103
714	258	103
715	258	102
716	259	102
717	259	101
718	259	101
719	260	101
720	260	100
721	260	100
722	260	99
723	261	99
724	261	99
725	261	98
726	261	98
727	262	97
728	262	97
729	262	97
730	263	96
731	263	96
732	263	96
733	263	95
734	264	95
735	264	94
736	264	94
737	264	94
738	265	93
739	265	93
740	265	92
741	266	92
742	266	92
743	266	91
744	266	91
745	267	90
746	267	90
747	267	90
748	268	89
749	268	89
750	268	89
751	269	88
752	269	88
753	269	87
754	269	87
755	270	87
756	270	86
757	270	86
758	271	86
759	271	85
760	271	85
761	271	84
762	272	84
763	272	84
764	272	83
765	272	83
766	273	82
767	273	82
768	273	82
769	273	81
770	274	81
771	274	81
772	274	80
773	275	80
774	275	79
775	275	79
776	275	79
777	276	78
778	276	78
779	276	78
780	276	77
781	277	77
782	277	76
783	277	76
784	277	76
785	278	75
786	278	75
787	278	74
788	278	74
789	279	74
790	279	73
791	279	73
792	280	73
793	280	72
794	280	72
795	280	72
796	281	71
797	281	71
798	281	70
799	282	70
800	282	70
801	282	69
802	282	69
803	283	69
804	283	68
805	283	68
806	284	67
807	284	67
808	284	67
809	285	66
810	285	66
811	285	66
812	285	65
813	286	65
814	286	65
815	286	64
816	287	64
817	287	63
818	287	63
819	287	63
820	288	62
821	288	62
822	288	62
823	289	61
824	289	61
825	289	61
826	289	60
827	290	60
828	290	59
829	290	59
830	290	59
831	291	58
832	291	58
833	291	58
834	291	57
835	292	57
836	292	56
837	292	56
838	293	56
839	293	55
840	293	55
841	293	55
842	294	54
843	294	54
844	294	54
845	295	53
846	295	53
847	295	52
848	295	52
849	296	52
850	296	51
851	296	51
852	296	51
853	297	50
854	297	50
855	297	50
856	298	49
857	298	49
858	298	49
859	298	48
860	299	48
861	299	47
862	299	47
863	300	47
864	300	46
865	300	46
866	300	46
867	301	45
868	301	45
869	301	45
870	302	44
871	302	44
872	302	44
873	302	43
874	303	43
875	303	42
876	303	42
877	304	42
878	304	41
879	304	41
880	304	41
881	305	40
882	305	40
883	305	40
884	305	39
885	306	39
886	306	39
887	306	38
888	307	38
889	307	37
890	307	37
891	307	37
892	308	36
893	308	36
894	308	36
895	308	35
896	309	35
897	309	35
898	309	34
899	310	34
900	310	34
901	310	33
902	310	33
